date,open,high,low,close,volume
2024-07-30 12:52:00,1181.05,1181.05,1180.1,1180.65,256
2024-07-30 12:53:00,1180.65,1180.75,1180.65,1180.75,184
2024-07-30 12:54:00,1180.75,1182.0,1180.75,1181.7,275
2024-07-30 12:55:00,1181.7,1182.35,1181.4,1182.35,208
2024-07-30 12:56:00,1182.35,1182.75,1182.35,1182.35,218
2024-07-30 12:57:00,1182.35,1182.35,1181.15,1182.15,378
2024-07-30 12:58:00,1182.15,1182.35,1182.15,1182.35,393
2024-07-30 12:59:00,1182.35,1182.35,1181.15,1182.35,297
2024-07-30 13:00:00,1182.35,1182.7,1180.05,1180.35,297
2024-07-30 13:01:00,1179.45,1180.65,1179.45,1180.65,203
2024-07-30 13:02:00,1180.65,1181.95,1180.25,1181.95,186
2024-07-30 13:03:00,1181.95,1182.4,1181.55,1181.55,230
2024-07-30 13:04:00,1182.05,1182.1,1181.2,1181.2,175
2024-07-30 13:05:00,1181.2,1182.05,1181.0,1181.0,263
2024-07-30 13:06:00,1181.0,1181.25,1180.2,1181.2,299
2024-07-30 13:07:00,1181.2,1181.25,1180.6,1181.25,200
2024-07-30 13:08:00,1181.25,1182.5,1181.1,1182.5,204
2024-07-30 13:09:00,1182.5,1182.5,1181.25,1181.55,254
2024-07-30 13:10:00,1181.55,1182.65,1181.25,1182.65,185
2024-07-30 13:11:00,1182.65,1182.65,1180.95,1180.95,356
2024-07-30 13:12:00,1180.95,1181.05,1180.65,1181.0,191
2024-07-30 13:13:00,1181.0,1181.15,1180.6,1181.15,252
2024-07-30 13:14:00,1181.15,1183.0,1181.15,1183.0,355
2024-07-30 13:15:00,1183.0,1183.5,1182.75,1183.0,194
2024-07-30 13:16:00,1183.0,1183.65,1182.8,1182.85,251
2024-07-30 13:17:00,1182.85,1183.25,1180.75,1182.45,996
2024-07-30 13:18:00,1182.45,1183.0,1181.95,1183.0,215
2024-07-30 13:19:00,1183.0,1183.0,1182.05,1182.95,314
2024-07-30 13:20:00,1182.95,1183.95,1182.55,1183.95,208
2024-07-30 13:21:00,1183.95,1183.95,1183.4,1183.9,221
2024-07-30 13:22:00,1183.9,1183.9,1182.2,1182.3,329
2024-07-30 13:23:00,1182.3,1184.7,1182.3,1184.7,201
2024-07-30 13:24:00,1184.7,1184.7,1183.15,1184.15,174
2024-07-30 13:25:00,1184.15,1184.15,1182.1,1182.1,295
2024-07-30 13:26:00,1182.1,1184.6,1182.1,1183.4,395
2024-07-30 13:27:00,1183.4,1183.95,1183.25,1183.95,180
2024-07-30 13:28:00,1183.95,1183.95,1182.3,1182.55,198
2024-07-30 13:29:00,1182.55,1183.85,1182.05,1183.85,448
2024-07-30 13:30:00,1183.75,1184.25,1183.15,1184.25,200
2024-07-30 13:31:00,1184.55,1184.95,1183.15,1183.4,1323
2024-07-30 13:32:00,1183.4,1183.4,1182.15,1182.65,267
2024-07-30 13:33:00,1182.65,1183.4,1182.35,1182.35,333
2024-07-30 13:34:00,1182.35,1183.05,1181.65,1182.6,487
2024-07-30 13:35:00,1182.6,1182.6,1182.6,1182.6,184
2024-07-30 13:36:00,1182.6,1182.6,1181.8,1182.55,206
2024-07-30 13:37:00,1182.55,1182.6,1180.35,1182.3,233
2024-07-30 13:38:00,1182.3,1182.65,1181.3,1181.85,197
2024-07-30 13:39:00,1181.85,1182.95,1181.7,1182.95,279
2024-07-30 13:40:00,1182.95,1183.05,1181.7,1182.05,283
2024-07-30 13:41:00,1182.05,1182.75,1179.3,1179.3,573
2024-07-30 13:42:00,1179.3,1181.95,1179.3,1181.95,328
2024-07-30 13:43:00,1181.95,1183.2,1180.2,1181.3,3232
2024-07-30 13:44:00,1181.3,1182.55,1181.1,1182.55,424
2024-07-30 13:45:00,1182.55,1182.55,1179.55,1180.6,933
2024-07-30 13:46:00,1180.6,1182.55,1180.3,1182.55,200
2024-07-30 13:47:00,1182.55,1182.55,1181.45,1181.45,223
2024-07-30 13:48:00,1181.45,1182.1,1179.55,1180.75,436
2024-07-30 13:49:00,1180.75,1180.75,1180.55,1180.75,294
2024-07-30 13:50:00,1180.75,1181.55,1180.55,1181.4,310
2024-07-30 13:51:00,1181.4,1181.95,1179.05,1179.05,930
2024-07-30 13:52:00,1179.05,1181.65,1178.05,1180.5,962
2024-07-30 13:53:00,1180.5,1180.5,1177.15,1178.35,596
2024-07-30 13:54:00,1178.35,1180.95,1178.35,1180.95,436
2024-07-30 13:55:00,1180.95,1181.35,1180.4,1180.8,407
2024-07-30 13:56:00,1180.8,1182.0,1180.55,1181.65,220
2024-07-30 13:57:00,1181.5,1181.85,1181.35,1181.35,301
2024-07-30 13:58:00,1181.3,1181.5,1180.35,1180.75,280
2024-07-30 13:59:00,1180.75,1180.95,1180.2,1180.8,257
2024-07-30 14:00:00,1180.8,1180.95,1180.2,1180.95,202
2024-07-30 14:01:00,1180.95,1183.55,1180.95,1183.55,214
2024-07-30 14:02:00,1183.55,1183.55,1179.9,1180.55,353
2024-07-30 14:03:00,1180.55,1180.95,1178.3,1180.95,436
2024-07-30 14:04:00,1180.95,1182.65,1180.0,1182.65,298
2024-07-30 14:05:00,1182.65,1182.65,1178.6,1179.05,892
2024-07-30 14:06:00,1179.05,1179.7,1178.05,1178.6,292
2024-07-30 14:07:00,1178.6,1179.75,1178.3,1179.3,305
2024-07-30 14:08:00,1179.3,1179.7,1177.6,1178.9,250
2024-07-30 14:09:00,1178.9,1178.9,1178.25,1178.8,378
2024-07-30 14:10:00,1178.8,1178.8,1177.15,1177.95,273
2024-07-30 14:11:00,1177.95,1177.95,1177.6,1177.9,196
2024-07-30 14:12:00,1177.9,1177.95,1177.6,1177.95,195
2024-07-30 14:13:00,1177.95,1177.95,1176.5,1177.2,422
2024-07-30 14:14:00,1177.2,1177.9,1177.2,1177.9,229
2024-07-30 14:15:00,1177.7,1177.9,1177.1,1177.9,279
2024-07-30 14:16:00,1177.9,1178.0,1177.45,1177.7,367
2024-07-30 14:17:00,1177.55,1178.7,1177.45,1178.0,355
2024-07-30 14:18:00,1178.0,1178.05,1177.75,1178.05,429
2024-07-30 14:19:00,1178.05,1180.0,1175.75,1177.2,6215
2024-07-30 14:20:00,1177.2,1178.4,1177.2,1178.15,639
2024-07-30 14:21:00,1178.15,1178.15,1174.25,1177.15,1460
2024-07-30 14:22:00,1177.15,1178.2,1177.0,1178.2,834
2024-07-30 14:23:00,1178.2,1178.2,1176.95,1177.75,297
2024-07-30 14:24:00,1177.75,1177.75,1176.95,1176.95,336
2024-07-30 14:25:00,1176.95,1177.5,1175.2,1175.2,278
2024-07-30 14:26:00,1175.2,1176.25,1175.0,1175.7,395
2024-07-30 14:27:00,1175.7,1175.7,1172.0,1172.0,1483
2024-07-30 14:28:00,1173.2,1173.2,1172.45,1172.5,1325
2024-07-30 14:29:00,1172.5,1172.9,1172.0,1172.0,423
2024-07-30 14:30:00,1172.0,1172.8,1172.0,1172.8,359
2024-07-30 14:31:00,1172.8,1174.4,1172.75,1174.15,640
2024-07-30 14:32:00,1174.15,1174.95,1172.25,1174.95,540
2024-07-30 14:33:00,1174.95,1175.75,1174.55,1175.75,259
2024-07-30 14:34:00,1175.75,1175.85,1174.2,1175.25,283
2024-07-30 14:35:00,1175.25,1176.8,1174.95,1176.8,712
2024-07-30 14:36:00,1176.8,1176.8,1174.65,1175.95,459
2024-07-30 14:37:00,1175.95,1178.4,1175.5,1176.9,2000
2024-07-30 14:38:00,1176.9,1176.9,1175.0,1176.2,359
2024-07-30 14:39:00,1176.2,1177.95,1175.35,1177.95,282
2024-07-30 14:40:00,1177.95,1179.15,1177.9,1178.8,200
2024-07-30 14:41:00,1178.8,1178.8,1176.15,1176.15,324
2024-07-30 14:42:00,1176.1,1177.55,1175.0,1175.6,847
2024-07-30 14:43:00,1175.6,1177.7,1175.6,1176.05,259
2024-07-30 14:44:00,1176.05,1177.25,1176.05,1177.0,356
2024-07-30 14:45:00,1177.0,1177.0,1176.05,1176.9,225
2024-07-30 14:46:00,1176.9,1176.9,1175.5,1175.9,388
2024-07-30 14:47:00,1175.85,1177.65,1175.8,1177.65,260
2024-07-30 14:48:00,1177.65,1177.65,1175.9,1177.3,471
2024-07-30 14:49:00,1177.3,1177.5,1176.75,1177.5,349
2024-07-30 14:50:00,1177.5,1178.55,1177.45,1178.5,497
2024-07-30 14:51:00,1178.5,1178.5,1173.5,1173.5,2818
2024-07-30 14:52:00,1174.3,1175.65,1173.2,1174.45,1095
2024-07-30 14:53:00,1174.1,1174.25,1171.05,1171.6,782
2024-07-30 14:54:00,1171.6,1171.6,1168.25,1169.85,2953
2024-07-30 14:55:00,1169.85,1171.45,1169.85,1170.9,1626
2024-07-30 14:56:00,1170.9,1171.95,1170.35,1171.95,1142
2024-07-30 14:57:00,1172.0,1173.45,1171.1,1171.8,603
2024-07-30 14:58:00,1171.8,1171.8,1171.1,1171.4,287
2024-07-30 14:59:00,1171.4,1172.65,1171.2,1172.65,689
2024-07-30 15:00:00,1172.65,1173.25,1171.4,1172.2,577
2024-07-30 15:01:00,1172.25,1175.45,1172.25,1175.45,791
2024-07-30 15:02:00,1175.45,1176.0,1174.25,1174.25,242
2024-07-30 15:03:00,1174.25,1175.95,1174.25,1175.95,370
2024-07-30 15:04:00,1176.0,1176.0,1175.35,1175.9,521
2024-07-30 15:05:00,1175.9,1176.0,1175.35,1176.0,282
2024-07-30 15:06:00,1176.0,1176.0,1175.35,1176.0,252
2024-07-30 15:07:00,1176.0,1176.0,1175.9,1176.0,669
2024-07-30 15:08:00,1176.3,1178.9,1176.3,1178.9,360
2024-07-30 15:09:00,1178.9,1180.0,1175.15,1178.8,1135
2024-07-30 15:10:00,1178.8,1178.8,1175.35,1175.4,793
2024-07-30 15:11:00,1175.4,1177.8,1175.4,1177.35,822
2024-07-30 15:12:00,1177.35,1177.35,1176.15,1177.2,459
2024-07-30 15:13:00,1177.2,1177.2,1174.7,1176.05,625
2024-07-30 15:14:00,1176.05,1176.05,1174.55,1174.55,869
2024-07-30 15:15:00,1174.55,1175.85,1174.55,1175.8,461
2024-07-30 15:16:00,1175.25,1175.8,1173.75,1173.75,577
2024-07-30 15:17:00,1174.8,1177.0,1174.45,1176.95,1907
2024-07-30 15:18:00,1176.2,1177.0,1176.2,1176.75,786
2024-07-30 15:19:00,1176.0,1176.75,1175.1,1176.65,560
2024-07-30 15:20:00,1176.65,1181.0,1175.15,1176.95,2531
2024-07-30 15:21:00,1175.0,1176.1,1174.3,1175.85,1684
2024-07-30 15:22:00,1175.8,1175.8,1174.45,1175.7,487
2024-07-30 15:23:00,1175.7,1175.7,1174.35,1174.35,1020
2024-07-30 15:24:00,1174.85,1174.85,1172.0,1172.7,2807
2024-07-30 15:25:00,1172.7,1172.7,1172.35,1172.4,1032
2024-07-30 15:26:00,1172.4,1177.45,1172.35,1177.35,3225
2024-07-30 15:27:00,1176.05,1176.9,1174.15,1175.9,646
2024-07-30 15:28:00,1175.85,1175.85,1174.1,1174.15,912
2024-07-30 15:29:00,1174.15,1179.0,1173.1,1175.55,2222
2024-07-31 09:15:00,1179.95,1184.1,1176.6,1176.6,2980
2024-07-31 09:16:00,1176.8,1176.8,1170.0,1170.0,2997
2024-07-31 09:17:00,1170.95,1172.9,1169.75,1170.6,1929
2024-07-31 09:18:00,1170.6,1171.7,1166.2,1166.95,2103
2024-07-31 09:19:00,1166.95,1169.8,1164.5,1168.95,1658
2024-07-31 09:20:00,1168.85,1169.15,1167.0,1168.15,1010
2024-07-31 09:21:00,1168.65,1168.9,1167.5,1167.5,532
2024-07-31 09:22:00,1167.5,1169.6,1167.5,1167.8,481
2024-07-31 09:23:00,1167.8,1168.8,1166.05,1166.3,444
2024-07-31 09:24:00,1166.3,1166.65,1165.4,1166.45,203
2024-07-31 09:25:00,1166.6,1168.25,1166.5,1166.95,426
2024-07-31 09:26:00,1165.7,1171.9,1165.7,1171.5,7512
2024-07-31 09:27:00,1172.0,1175.55,1172.0,1175.35,2871
2024-07-31 09:28:00,1175.6,1178.95,1174.5,1178.2,1076
2024-07-31 09:29:00,1178.05,1178.15,1176.25,1176.95,584
2024-07-31 09:30:00,1176.95,1181.45,1176.9,1181.45,2476
2024-07-31 09:31:00,1182.35,1184.2,1180.8,1181.1,1472
2024-07-31 09:32:00,1180.1,1180.4,1177.1,1177.65,1205
2024-07-31 09:33:00,1177.65,1178.45,1177.65,1177.95,380
2024-07-31 09:34:00,1177.3,1178.0,1176.95,1177.5,138
2024-07-31 09:35:00,1177.5,1177.5,1175.55,1175.55,1155
2024-07-31 09:36:00,1176.5,1176.5,1175.6,1176.5,209
2024-07-31 09:37:00,1176.5,1176.5,1176.0,1176.0,82
2024-07-31 09:38:00,1176.0,1176.5,1174.95,1175.35,1204
2024-07-31 09:39:00,1176.0,1183.7,1175.4,1182.35,5120
2024-07-31 09:40:00,1181.3,1181.65,1178.35,1179.9,2125
2024-07-31 09:41:00,1179.9,1179.9,1178.1,1178.55,1454
2024-07-31 09:42:00,1178.05,1179.0,1178.05,1179.0,155
2024-07-31 09:43:00,1179.0,1179.0,1178.0,1178.9,832
2024-07-31 09:44:00,1178.95,1178.95,1178.2,1178.85,570
2024-07-31 09:45:00,1177.8,1178.2,1175.65,1177.95,787
2024-07-31 09:46:00,1178.2,1178.95,1177.95,1178.8,287
2024-07-31 09:47:00,1178.8,1178.8,1178.1,1178.5,33
2024-07-31 09:48:00,1178.8,1178.8,1178.5,1178.8,127
2024-07-31 09:49:00,1178.8,1178.8,1178.15,1178.15,61
2024-07-31 09:50:00,1178.15,1178.8,1176.6,1178.1,372
2024-07-31 09:51:00,1178.1,1178.1,1176.25,1176.6,335
2024-07-31 09:52:00,1176.85,1177.95,1175.9,1177.95,143
2024-07-31 09:53:00,1177.95,1178.2,1177.25,1177.25,910
2024-07-31 09:54:00,1177.25,1178.0,1177.25,1178.0,52
2024-07-31 09:55:00,1178.0,1178.0,1175.55,1176.65,521
2024-07-31 09:56:00,1176.65,1176.65,1175.65,1176.0,161
2024-07-31 09:57:00,1176.0,1176.0,1176.0,1176.0,64
2024-07-31 09:58:00,1176.0,1176.0,1176.0,1176.0,1
2024-07-31 09:59:00,1176.0,1176.0,1173.6,1173.6,180
2024-07-31 10:00:00,1173.6,1174.35,1173.35,1173.5,83
2024-07-31 10:01:00,1173.5,1174.25,1173.5,1174.0,44
2024-07-31 10:02:00,1174.0,1174.9,1173.35,1174.0,140
2024-07-31 10:03:00,1174.0,1175.9,1174.0,1174.95,213
